Page,Section,Subsection,Text Content
NAVIGATION,Header,Logo,CGI
NAVIGATION,Header,Main Menu,Services
NAVIGATION,Header,Main Menu,Industries
NAVIGATION,Header,Main Menu,Insights
NAVIGATION,Header,Main Menu,Careers
NAVIGATION,Header,Main Menu,Investors
NAVIGATION,Header,Secondary Menu,Contact
NAVIGATION,Header,Secondary Menu,Global
NAVIGATION,Header,Secondary Menu,EN

HOME,Hero Carousel,Slide 1 - Title,From AI vision to value
HOME,Hero Carousel,Slide 1 - Description,Explore bold human-centered AI thinking practical expert insights and success stories that help clients accelerate innovation confidently.
HOME,Hero Carousel,Slide 1 - CTA,Explore the ideas driving smarter human-led innovation

HOME,Hero Carousel,Slide 2 - Title,Redefining global capability centers (GCCs) into AI-powered innovation hubs
HOME,Hero Carousel,Slide 2 - Description,By transforming GCCs into strategic growth hubs we help clients unlock agility resiliency and innovation in an AI-first world.
HOME,Hero Carousel,Slide 2 - CTA,Discover your organization's next growth engine

HOME,Hero Carousel,Slide 3 - Title,Reimagining insurance through modernization
HOME,Hero Carousel,Slide 3 - Description,With our help MAPFRE USA migrated to a modern core platform driving faster claims better underwriting and data-powered growth.
HOME,Hero Carousel,Slide 3 - CTA,Read the client success story

HOME,Hero Carousel,Slide 4 - Title,Build your career with us
HOME,Hero Carousel,Slide 4 - Description,We're recruiting top talent for roles that drive innovation and build our shared future.
HOME,Hero Carousel,Slide 4 - CTA,Explore top roles that power impact

HOME,Insights Section,Section Title,Insights
HOME,Insights Section,Description,We provide a global antenna based on facts not hype to help improve returns on your IT and business investments.
HOME,Insights Section,Link 1,Banking
HOME,Insights Section,Link 2,Government
HOME,Insights Section,Link 3,Health
HOME,Insights Section,Link 4,Manufacturing
HOME,Insights Section,Link 5,Retail
HOME,Insights Section,Link 6,Energy & utilities
HOME,Insights Section,CTA,Explore all industries →

HOME,Services Section,Section Title,Services
HOME,Services Section,Description,We help you meet the ever-evolving digital expectations of your customers and citizens through our secure and flexible end-to-end services.
