Section Name,Text Content
Header - Logo,CGI
Header - Navigation,Services | Industries | Insights | Careers | Investors | Contact | Global | EN

HOME PAGE - Hero Carousel Slide 1,From AI vision to value
HOME PAGE - Hero Slide 1 Description,Explore bold human-centered AI thinking practical expert insights and success stories that help clients accelerate innovation confidently.
HOME PAGE - Hero Slide 1 CTA,Explore the ideas driving smarter human-led innovation

HOME PAGE - Hero Carousel Slide 2,Redefining global capability centers (GCCs) into AI-powered innovation hubs
HOME PAGE - Hero Slide 2 Description,By transforming GCCs into strategic growth hubs we help clients unlock agility resiliency and innovation in an AI-first world.
HOME PAGE - Hero Slide 2 CTA,Discover your organization's next growth engine

HOME PAGE - Hero Carousel Slide 3,Reimagining insurance through modernization
HOME PAGE - Hero Slide 3 Description,With our help MAPFRE USA migrated to a modern core platform driving faster claims better underwriting and data-powered growth.
HOME PAGE - Hero Slide 3 CTA,Read the client success story

HOME PAGE - Hero Carousel Slide 4,Build your career with us
HOME PAGE - Hero Slide 4 Description,We're recruiting top talent for roles that drive innovation and build our shared future.
HOME PAGE - Hero Slide 4 CTA,Explore top roles that power impact

HOME PAGE - Insights Section Title,Insights
HOME PAGE - Insights Description,We provide a global antenna based on facts not hype to help improve returns on your IT and business investments.
HOME PAGE - Insights Industries,"Banking | Government | Health | Manufacturing | Retail | Energy & utilities"
HOME PAGE - Insights CTA,Explore all industries →

HOME PAGE - Services Section Title,Services
HOME PAGE - Services Description,We help you meet the ever-evolving digital expectations of your customers and citizens through our secure and flexible end-to-end services.
HOME PAGE - Services List,"Business consulting | Business process services | Managed IT services | Artificial intelligence | Data analytics | Cloud & hybrid IT"
HOME PAGE - Services CTA,Explore end-to-end services →

HOME PAGE - Solutions Section Title,Solutions
HOME PAGE - Solutions Description,Our intellectual property-based solutions help you accelerate innovation and drive operational excellence.
HOME PAGE - Solutions List,"CGI Credit Studio | CGI PulseAI | CGI Trade360 | CGI OpenGrid360 | CGI All Payments | CGI Retail Suite"
HOME PAGE - Solutions CTA,Explore all solutions →

HOME PAGE - Case Studies Title,Case studies
HOME PAGE - Case Study 1,"Setra Group: Driving standardization at scale with a unified MES platform"
HOME PAGE - Case Study 2,"Volkswagen Group & CGI: Reimagining managed services"
HOME PAGE - Case Study 3,"Driving a cloud-ready SAP transformation"
HOME PAGE - Case Study 4,"CGI helps U.S. bank drive efficiencies through debt recovery modernization"
HOME PAGE - Case Studies CTA,Discover more of our clients' successes

